well,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
G3,K18,ACTIN,1.449,Amp,UNKNOWN,17.954,17.956,0.004,156100.7,155845.75,360.553,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,13,FALSE,33
G4,K19,ACTIN,1.433,Amp,UNKNOWN,17.26,17.298,0.054,243729.83,237866.83,8291.522,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,12,FALSE,33
G5,K20,ACTIN,1.451,Amp,UNKNOWN,15.678,15.621,0.08,673481.25,698995.25,36082.277,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,11,FALSE,33
G6,K21,ACTIN,1.442,Amp,UNKNOWN,15.892,15.929,0.053,587057.56,573354.44,19379.154,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,11,FALSE,33
G7,K22,ACTIN,1.456,Amp,UNKNOWN,15.299,15.341,0.06,859357.8,836402.94,32463.166,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,11,FALSE,33
G8,K23,ACTIN,1.454,Amp,UNKNOWN,15.671,15.81,0.196,676358.1,621099.4,78147.664,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,11,FALSE,33
G9,K24,ACTIN,1.468,Amp,UNKNOWN,15.716,15.734,0.025,657394.06,649909.06,10585.413,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,11,FALSE,33
G10,K25,ACTIN,1.468,Amp,UNKNOWN,14.639,14.725,0.121,1312817,1244211.1,97023.26,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,10,FALSE,33
H1,K16,ACTIN,1.458,Amp,UNKNOWN,15.731,15.669,0.087,651049.2,677936.6,38024.574,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,11,FALSE,33
H2,K17,ACTIN,1.422,Amp,UNKNOWN,16.666,16.603,0.09,356951.8,372111.53,21439.096,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,12,FALSE,33
H3,K18,ACTIN,1.326,Amp,UNKNOWN,17.959,17.956,0.004,155590.8,155845.75,360.553,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,13,FALSE,33
H4,K19,ACTIN,1.43,Amp,UNKNOWN,17.337,17.298,0.054,232003.84,237866.83,8291.522,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,13,FALSE,33
H5,K20,ACTIN,1.442,Amp,UNKNOWN,15.564,15.621,0.08,724509.3,698995.25,36082.277,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,11,FALSE,33
H6,K21,ACTIN,1.455,Amp,UNKNOWN,15.966,15.929,0.053,559651.3,573354.44,19379.154,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,11,FALSE,33
H7,K22,ACTIN,1.443,Amp,UNKNOWN,15.384,15.341,0.06,813448,836402.94,32463.166,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,11,FALSE,33
H8,K23,ACTIN,1.236,Amp,UNKNOWN,15.949,15.81,0.196,565840.6,621099.4,78147.664,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,11,FALSE,33
H9,K24,ACTIN,1.46,Amp,UNKNOWN,15.751,15.734,0.025,642424,649909.06,10585.413,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,11,FALSE,33
H10,K25,ACTIN,1.472,Amp,UNKNOWN,14.811,14.725,0.121,1175605.4,1244211.1,97023.26,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,10,FALSE,33
A1,K26,DWV,1.321,Amp,UNKNOWN,28.489,28.489,,78.209,78.209,,35.2228,0.993,-3.5567,91.05548,TRUE,0.086,TRUE,3,24,FALSE,46
